Label,ENSG00000169715.13,ENSG00000150656.13,ENSG00000112936.17,ENSG00000112312.8,ENSG00000101210.9
Late_Stage,-0.370032,4.358604,-1.054156,-1.453601,-1.022535
Late_Stage,-0.410378,0.932863,-0.488254,-0.226183,-0.817654
Late_Stage,-0.147302,0.770743,-0.438122,-0.915915,-1.111165
Late_Stage,-0.138962,0.307716,0.54964,1.096333,-0.914134
Late_Stage,-0.483062,1.425056,0.345686,-1.100903,-0.865744
Late_Stage,-0.189025,1.278182,-1.450664,-0.841414,0.053549
Late_Stage,-0.232779,0.640028,-0.421461,-1.32813,-1.112151
Late_Stage,-0.607939,-0.001477,0.990716,1.401922,-0.791462
Late_Stage,-0.004396,0.830388,-2.260807,-1.232757,-1.114185
Late_Stage,-0.009642,1.931782,-1.035479,0.24131,-0.853168
Late_Stage,-0.569506,-0.674659,1.185165,-0.388325,-1.112167
Late_Stage,-0.392971,0.624554,-2.218704,-0.671664,-1.143753
Late_Stage,-0.42652,-1.341951,-0.027945,-0.318812,0.678833
Late_Stage,-0.170282,0.936343,-2.344364,-1.130191,-1.147156
Late_Stage,-0.598678,-1.61158,-0.571755,0.84833,-0.719019
Late_Stage,-0.56566,-0.886997,-0.720804,0.630604,0.944948
Late_Stage,-0.433401,0.239756,-1.435839,1.686448,-0.226951
Late_Stage,-0.475738,-1.519503,1.251437,1.329632,0.817358
Late_Stage,-0.354967,-0.319741,-1.128157,0.392574,0.820875
Late_Stage,-0.514635,-0.371684,0.94525,2.332952,1.828168
Late_Stage,-0.46052,-0.974724,0.139458,-0.950264,1.05956
Late_Stage,-0.065452,1.553645,-1.936523,-1.701283,-1.114904
Late_Stage,-0.462944,-0.47908,-0.582643,-1.163491,-1.092209
Late_Stage,-0.395168,-0.120781,-0.621588,-0.119799,-0.855509
Late_Stage,-0.366582,-0.421289,0.873319,1.379143,1.460856
Late_Stage,-0.40493,-0.503668,1.265645,1.938004,2.066723
Late_Stage,-0.336826,-0.731766,-0.546713,0.61884,-0.207471
Late_Stage,-0.601543,-1.018182,0.205939,1.215485,0.687533
Late_Stage,-0.547725,-1.446038,1.0961,-0.867545,0.364313
Late_Stage,0.017019,1.756969,-2.284533,-1.131911,-1.12278
Late_Stage,-0.149579,0.566905,-0.220402,-0.815832,-1.130768
Late_Stage,-0.271008,1.483888,-0.574722,-1.18199,0.361833
Late_Stage,-0.384958,0.241981,-0.204926,-0.849714,-1.020559
Late_Stage,-0.228796,1.380743,-2.344396,0.677457,-1.134691
